Region,document-id,stanzaid,Content,stage,code,AA,CG,CM,IL,KB,LD,LP,MT,MU,PA,RI
香港,20180123上午交流,17,首先来说，香港的资历框架其实有和欧洲欧盟做一些对接，大家都知道，如果大家在网上都看到一些资料，欧盟有一个欧洲的资历框架，它是八级的，它的目的是因为欧洲有很多国家，各个国家自己有自己所谓NVQ即自己国家的资历框架，自己国家的资历框架和欧洲的资历框架怎么样对接，换句话说，很清楚的知道在法国里面的第三级和英国的第几级对接？香港和欧盟做了一个资历框架的对接，是一个比较研究，该资料已经在网上有了，应该是中英文都有。意思是香港的资历框架的七级和欧盟，也是间接和英国做了一个对接，不过这只是框架与框架之间的对接，这只是资历互认其中一个基础，很清楚的是，比如说香港资历框架的第五级相约于欧盟资历框架的第六级。换句话说，香港的资历框架第五级的资历和欧盟、欧洲第六级的资历应该有基础来对接，但是去到互认的层面，得由着培训机构、院校与院校之间的行为，不过他可以用政府两地的地区做了这样一个对接研究的时候，可以省了很多功夫，因为所有的对接只是做了在资历级别方面的一个比较，课程里面的内容、资历里面的内容你不知道，因为不同的课程在同一个级别里面，范畴、领域都有不同，这由着院校去做。,初期,CM,0,0,1,0,0,0,0,0,0,0,0
香港,20180123上午交流,18,说到汽车，香港就算有没有做该对接工作，IMI帮我们去做能力标准撰写的时候，其实我们要求他要参考一些相关的外国经验，他是不是一定要用外国的能力单元放在香港里面用？未必，香港的情况和外国的情况有不同，同样的道理，国内如果你们要发展能力标准，就算说到卖车，有一些香港的能力你们觉得适用，可以用到一个采纳的方式去采用，但也都需要有一些要新增你们需要的能力。另一方面，可能将我们某一些的能力写法里面有一些调节去配合你们的国情。我不知道有没有直接回答到你们的问题，资历框架是级别和级别之间的对接而已。而香港不单是和欧盟，我们和苏格兰、纽西兰、爱尔兰都有做一个级别与级别之间的对接。谢谢！,初期,"CM,KB",0,0,1,0,1,0,0,0,0,0,0
广东,20180123上午交流,19,第二个问题，在昨天的资料介绍里面，我看到有一句话，讲到对于能力要求上是需要根据供应商的手册数据来完成什么样的工作任务，比如说测试等等。我这里想问一个问题，供应商的数据标准是如何来获取？延伸的一个问题是，在大陆来讲，汽车的生产制造商有很多，我们在做能力标准的时候，需要参照的汽车供应商、生产制造上也有很多，这么多供应商，其实他们有些还是不一样的要求，针对于不一样的要求，我们应该采取什么样的策略来应对所有的供应商？比如说在大陆，有德系合资的制造商、美系、日系、韩系等等，还有国产，他们对于能力以及测试数据等等有很大的不同，针对于这样的不同，我们在做资历框架以及能力标准的过程当中，应该参考谁，还是都参考，还是选择有代表性的参考，或者干脆不考虑这个问题，只做一个通用的？谢谢！,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,20,回答一下这个问题，或者解释一下。供应商的确我们昨天说的能力标准，其实香港的情况可能和国内都有一些不同，香港叫做供应商，为什么？我说着一个品牌、汽车，比如说是奔驰，奔驰在香港只有一家供应商，和国内有一些不同，可能有很多不同的供应商去卖奔驰的车，香港现在这样写的意思是，如果要维修的时候，很多得到的资料包括一些维修手册，其实都是一些我们一家奔驰供应商来做，所以我们的意思是，在维修的时候，希望维修员、修理员他们要参考一些原厂的维修手册，或者参考一些原厂的资料，确保第一维修的安全状况，第二确保维修符合原厂的标准，我们说的是原厂的资料、标准，所以供应商，香港每一个品牌只有一个供应商，所以和你们的用语有些不同，只不过意思，就算大家在国内有不同的供应商卖奔驰，都不要紧，只不过大家维修的时候要参考原厂的手册、资料，确保安全、维修上的数据可行，这是背后意思。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,21,他讲的问题是，比如说他的日系、韩系、德系不同的供应商，有不同的制造生产的一些要求，针对不同要求在能力标准当中，如何根据不同的要求来制定同一个要求？,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,22,不同品牌也有不同的标准，于是很简单，我维修奔驰、宝马和丰田的时候，大家的技术不同，做法也不一样。其实在我们说的能力标准告诉他，你无论维修哪一个品牌的车辆，都一定要参考那个品牌，我们叫做供应商的资料，标准不是说不同品牌要有一个标准，因为事实上是不可能的，我们有很多个品牌，几十个品牌都有不同的标准，但是很简单，如果那辆车是奔驰，维修的时候一定要拿到奔驰的手册、资料，你是丰田的，一定要和代理商或者厂方拿到丰田的资料、数据去做维修的工作，告诉他你维修的时候一定要根据不同的品牌去拿一些官方的资料才可以做维修工作。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,23,这里补充一点，大家不需要很担心我写这个能力里面是不是所有牌子，即所有品牌的要求的手册内容都要写进去，不需要的，我们想说的能力标准的意思是，你要明白这个能力标准是给谁用，这是给所谓其中的用家即培训机构、内部培训的人，他制定课程的时候，我们的写法只是说所有的维修应该要根据车厂即原厂本身要求的数据，这是我们的要求。如果你的培训机构的课程是说一个维修员维修宝马，他要根据宝马的要求，如果是教你维修丰田，就要根据丰田的要求，但是丰田和宝马的要求不需要写进那本能力标准说明里面，我们的说法是你需要去根据原厂里面的要求和规格去进行维修，但是原厂有很多东西，很概括性。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,24,都是同一个例子，我去做文书，我没有说明是用什么样的软件，但是你的培训机构要教甲软件，你的甲软件的内容是写在培训材料里面，但不在能力标准里面，不过你要达到能力标准的要求，你在指定的时间、场景里面，完成了某一定文书的工作，比如说可以打到多少个字，做到多少程度，但是你用什么样的软件，就看教学那里指明用什么软件，不可能教完所有软件。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,25,这个我大概理解你的意思，也就是把通用的指出来，对一些特殊的情况，我们不指定品牌，只是按照原厂的要求来做这样的事情，这样我想可能针对于大陆的特殊情况，是不是要做一些本地化的改造，因为我们前期包括在这里杜主任都带领我们做过岗位能力的分析，在分析的时候，会请企业里面请来一线岗位的从业者来和我们一起分析他们在岗位上做什么样的工作，比如说举个简单的例子，对宝马车在维修的时候，有编程这一个典型的工作任务，但是对于其他的像日系车没有编程这样的工作任务，可能是另外的，针对这种情况，我们发现他的工作任务其实不一定一样，因此我想针对这种特殊情况，是不是我们在做该标准的时候，特殊规定一下限于什么车型，因为德系不管它是哪个品牌，基本上还是差不多，日系不管是丰田还是本田，基本上还是有类似之处，我们有没有必要针对于一些特别无法概括的这种能力，还是把它特别标注一下，还是说干脆这些问题都不提，有区分的东西就不提，比如说编程，宝马编程的任务或者能力干脆就不体现或者不讲，还是说用一种特殊的方法来给它区分一下，我不太清楚哪一种方式更合适，还是根本不需要？,初期,"MU,KB",0,0,0,0,1,0,0,0,1,0,0
香港,20180123上午交流,26,从培训角度来说，不需要在你那一本能力标准说明去特别指明哪一个牌子即哪一个品牌需要什么能力，如果是的话，会有很多，那个责任应该由将来院校、培训机构去提供课程的时候提供这些资料。我们那本能力标准说明里面，你看到我们有很多规范，也不会将法例或者将某一些的规范、守则写进去，只会说你要按照某一些守则，但是守则会改，当守则会改的时候，我们也不会写你要按照1990年的守则或者2021年的守则，我们就说你的能力需要按照某一定的守则，该守则当然说的是最近期的版本，变成守则改的时候，那本能力标准说明一定要改。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,27,我回答你这个问题，这要慢慢说，因为是说两个概念，第一个概念，我该课程究竟是第一级还是第二级还是第三级，概念很简单，是有大部分里面的课程内容，你的课程内容可能是能力单元，可能是其他的资料，而这些课程内容里面成效标准即达标的标准是对应级别通用指标里面如果是第三级，大部分的能力都是第三级，你的课程就应该是第三级。因为你的课程说是第三级的时候，将来都要去你们的质量保证机构，在香港来说是香港学术及职业资历评审局，他也都会同一把尺去看你的课程是否是第三级。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,28,第二个概念是，你想做一个能力为本的课程，刚才说60%是能力为本的课程，在香港来说，我们教育局秘书处有一套指引，如果你说你的课程是一个能力为本，你在课程里面的内容有60%或以上是用那本能力为本，没有规定你的能力为本用一级、二级，是两个概念，你超过60%或以上是能力为本，但是是二级还是三级，即刚才我说的概念，整体来说，课程内容如果是达到第三级，就是第三级。当然我们做了一套能力标准，因为在香港来说，每一个能力单元都有学分和级别方便去计算，也方便评审局去做评审。换句话说，如果一般情况之下，二级的课程应该大部分你的能力都是拿二级。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,29,我问比较简单的两个小问题，一是资历框架能力标准开发模型第39页资历级别评级准则有七个级别，后面关键词，我想问一下关键词怎么样确定，关键词在具体的能力单元描述的时候，是不是在哪里面有反映，比如说评估、能力描述的时候有反映？,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,30,这个问题都问得很好，这是专业撰写人一些经验，先不要看这张图，如果看香港的能力标准，其实写一级、二级、三级，一般情况之下，我们用的动词都是接近，但是不代表是否动词对了，见到那个动词就是一级，见到第二个动词就是二级，不一定，因为我们认识汽车制造和认识穿梭机制造不同，认识穿梭机的制造，级别高很多，所以大家都认识。这张图是给大家有一个清楚概念，一个笼统概括去知道，一级通常做一些操作很重复性的事情，相对于七级的时候，做一些很创造性、规划性的工作，如果你是做一些管理能力的时候，可能说一个规划等等，如果你说一些创作是创造的东西。五级以上通常是一些管理、策略等等，这些是给你们一个参考，大概有一个印象，因为就这样看级别通用指标是很学术性，也都是很难，未必每个都能够这么容易去理解。,初期,"AA,MU,KB",1,0,0,0,1,0,0,0,1,0,0
香港,20180123上午交流,31,因此在这里，直接回答这位先生的问题，不是说一定要用那个词才达到那个级别，是给你一个概括，当然你可以参考香港能力标准说明的写法，通常来说认识那些都是比较初级的，去到管理那些，可能是四级以上，去到一些策略的规划、创作、创造、创新，那些通常去到七级才会做这样的东西，这也是相对应于学术能力方面来说，你学士学位做一些什么东西，因为博士是说创新，有一些新的论文、新的研究。,初期,"AA,KB",1,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,32,这个比例，刚才颜经理说了其中一样东西，一般情况之下，有很多个情况，有一个情况是，级别较高的那些，其实你自学的时间会较长，上课时数的比例会较短。比如说一个博士生，其实大部分时间都是自学，但也有些情况是，似乎你学员的背景，如果是职前培训来说，通常来说上课时数比例较高，但是如果是一些在职的培训，可能上课时数较少，其他自学时数会较长，这也要看情况，没有一个规定的比例，不过我们有一些这样的法则，这是由院校、培训机构做课程的时候，要提供给评审局，有一个证据证明究竟你的学分，比如说你是十个学分的时候，即100个学时的安排是怎么样。,初期,AA,1,0,0,0,0,0,0,0,0,0,0
香港,20180123上午交流,33,概念和你说的不同，我们不是去评工人的级别，我昨天也有提到，和国家职业资格的概念不同，国家职业资格是说工人专业人员其实他的级别是多少，香港来说是那个课程或者资历，或者那个人能力的水平达到哪里，如果课程本身要求的达标标准的能力要求是去到第三级，无论哪一个人跑来考完该课程、读完该课程，他拿的资历都是第三级，无论是一个经理还是一个初级技工，他只有读完你的课程，而且评估合格达标的话，就拿到那个级别，是否清楚？不是说我是一个二级的工人来考，怎么样评他是二级、三级，因为你的课程本身已经规范了学习的成效能力的标准去到哪里。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,34,第一个是能力标准是否成为国际标准，如果有的话，该标准是什么标准？,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,35,你是不是问我们整个制作能力标准说明的时候，是否国际化？当然，其实全世界都有它怎么样发展自己的能力标准，香港在做能力标准最开始的时候，香港发展资历框架是聘请了一个纽西兰的顾问，我做一个顾问报告，即你们昨天准备找评审局帮你做一个顾问。当时，纽西兰这位专家是当时香港的教育局邀请他帮我们，在香港发展资历框架的时候，给我们一些顾问意见，当时给我们一些什么顾问意见？包括怎么样订立资历框架，资历框架里面究竟应该怎么样写那些能力标准说明，包括流程、成立什么委员会，都有说到。他的资讯、资料也应该参考了其他国家的资料，应该不只是纽西兰。以我们所知道，全世界发展得比较早期的一些资历框架，有经验一些的是纽西兰、英国、苏格兰等等地方，我相信他们都有参考那边的经验，当时他们给我们的报告里面，都有参考七八个国家做这样东西。但我们是否全部都采纳他们的意见？不是的，我们从2004年开始去进行头那一批的能力标准说明到现在有几十套做了出来之后，其实现在的规格和范本都是因为积累了经验，也配合香港的情况有所改变。,初期,"AA,KB",1,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,36,可以这么说，直接回答刚才的问题，我们的标准其实有参考国际经验，但是我们也都有自己的香港特色，同一个道理是，当你们参考了香港的做法之后，你们自己也可以有自己的一套规格，不过这套规格做的时候，其实不是凭空，也都有参考过香港、外国的经验。比如说我们现在有一套能力标准说明的资历指引，香港60%的内容是取材于能力标准，另外要符合资历名衔，但是在国内来说，可能你们不需要资历名衔，变成你们的指引也不需要有资历名衔，你们有一个框架。我们都有框架标准，但是资历名衔是另外一个东西，不同的。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,37,这里给你们多解释一点点，为什么我们有一个资历名衔？有了框架之后，资历名衔也不是一开始就有，由于香港是一个自由社会，和外国有些不同，外国有些我们叫做国家的资历，规范了，比如说英格兰、苏格兰、澳洲有一些是国家资历，规定了名字，长、高、宽全部包了。香港来说，除了现在的中学文凭试等等那些有规范之外，其他的可能有些高级文凭都有一些规范之外，大部分的课程在培训机构、院校可以自己定他的课程内容、课程名称。举个例子，比如说大家两个课程，一个叫做文凭，一个叫做高等文凭，究竟是文凭高一些，还是高等文凭高一些？不清楚，因为没有一个法例，也没有一个政府的规限给他们。我们在资历框架下面有资历名衔的计划，目的是要达到这些名衔，你有一定的规范，所以在香港的资历框架下面，只有15个名衔，不会多过15个名称，除了大学某一些很有历史悠久的资历，大部分来说，如果说职业专才的资历不会有超过15个名衔，如果在香港来说，放进资历框架怎么样做文凭，有两个条件，第一，你一定有三级或以上；第二，它需要的学分是60或以上。但是国内来说，现在没有资历名衔的时候，资历指引就不可以写资历名衔，因为没有。,初期,PA,0,0,0,0,0,0,0,0,0,1,0
广东,20180123上午交流,38,回到刚才的问题，你们去参考写能力标准的时候，我相信慢慢都会有你们一套指引，因为你们有一套指引的时候，才容易给不同的行业专业撰写人一套规范怎么样写，比如说我们分了五个阶段，每一个阶段做什么，你可以利用我们昨天给你们的一套资料回去改良、改造，配合你们的实际情况、经验，慢慢就形成了有一套可能是我们国家和广东省的标准。你说我们那套有没有参考国际标准，绝对有，还有每一次去招标的时候，叫个别的撰写人为我们行业写那套标准的时候，要要求他参考外国有没有相关行业标准写出来。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,39,补充多一点，大家有一点点混淆，刚才黎总说的课程本身的名称是说所有在资历名册下面的课程，才有资历名衔计划的规范。因为你有时候看到课程比如说证书课程是一天而已，如果不是资历框架下面，就不是里面一个规范的课程的名称，你会看到突然在网上找的时候，有些证书课程是一天，学分又不是很符合，那些课程没有放在资历名册下面，即没有受一个评审的课程，要留意一下这个。,初期,PA,0,0,0,0,0,0,0,0,0,1,0
广东,20180123上午交流,40,能力标准开发是不是要这样，要哪一些人能够参与？还有一个，在这个地方，如何保证应用？,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,41,那个前面已经回答了，我是说第二个和前面有些关系，我在学校的时候，为什么要问这个问题，实际上一个标准的问题是大家要认可，你制定出来，和大家是否认可，大家要用。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,42,我们看到这张流程图，可能可以解答到你的问题。这是很实际的问题，香港也都碰到，刚才我也都说了，一开始我们做一些能力标准的时候，行业本身标准来说，因为不是他们出资源，你就做，做完之后，他们未必会用，你刚才第一个问题是应用，怎么样令他们用或者怎么样用得到，还有团队应该是找哪些有代表性的人参与。,初期,"AA,KB,RI",1,0,0,0,1,0,0,0,0,0,1
香港,20180123上午交流,43,第一方面，先说参与，在香港发展资历框架和国内都不一样，你们暂时没有一个行业培训咨询委员会，香港来说，我们在资历框架特别是职专培训这一块里面，很着重业界的参与，因为行业的能力标准不是由政府、官方机构写，你写出来之后，他们未必适合用，也不是由培训机构去写，因为他本身是做课程，也未必知道行业需要什么。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
